I,deltaT,T_in,pressure_ratio,Qc,Ptec,Qh,T_sat,m_dot_required,COP
7.0,25.714285714285715,40,1.2,0.5488571428571429,0.7842857142857144,1.3331428571428572,105.16374456813821,4.887327402868715e-06,0.6998178506375228
7.0,25.714285714285715,40,1.3,0.5488571428571429,0.7842857142857144,1.3331428571428572,107.49465184921638,4.718545036914606e-06,0.6998178506375228
7.0,25.714285714285715,40,1.4,0.5488571428571429,0.7842857142857144,1.3331428571428572,109.68224258275194,4.570411954282166e-06,0.6998178506375228
7.0,25.714285714285715,40,1.5,0.5488571428571429,0.7842857142857144,1.3331428571428572,111.74486049387446,4.439015593717555e-06,0.6998178506375228
7.0,28.571428571428573,20,1.1,0.5222857142857142,0.7894285714285715,1.3117142857142858,102.66664677456191,3.7906152266942893e-06,0.6615997104596452
7.0,28.571428571428573,20,1.2,0.5222857142857142,0.7894285714285715,1.3117142857142858,105.16374456813821,3.6794700795794655e-06,0.6615997104596452
7.0,28.571428571428573,20,1.3,0.5222857142857142,0.7894285714285715,1.3117142857142858,107.49465184921638,3.5814469042454875e-06,0.6615997104596452
7.0,28.571428571428573,20,1.4,0.5222857142857142,0.7894285714285715,1.3117142857142858,109.68224258275194,3.4940857964637805e-06,0.6615997104596452
7.0,28.571428571428573,20,1.5,0.5222857142857142,0.7894285714285715,1.3117142857142858,111.74486049387446,3.415531380358192e-06,0.6615997104596452
7.0,28.571428571428573,30,1.1,0.5222857142857142,0.7894285714285715,1.3117142857142858,102.66664677456191,4.312259666743125e-06,0.6615997104596452
7.0,28.571428571428573,30,1.2,0.5222857142857142,0.7894285714285715,1.3117142857142858,105.16374456813821,4.1689973244925914e-06,0.6615997104596452
7.0,28.571428571428573,30,1.3,0.5222857142857142,0.7894285714285715,1.3117142857142858,107.49465184921638,4.043600977950343e-06,0.6615997104596452
7.0,28.571428571428573,30,1.4,0.5222857142857142,0.7894285714285715,1.3117142857142858,109.68224258275194,3.932588238564991e-06,0.6615997104596452
7.0,28.571428571428573,30,1.5,0.5222857142857142,0.7894285714285715,1.3117142857142858,111.74486049387446,3.8333596523403965e-06,0.6615997104596452
7.0,28.571428571428573,40,1.1,0.5222857142857142,0.7894285714285715,1.3117142857142858,102.66664677456191,5.000386427738671e-06,0.6615997104596452
7.0,28.571428571428573,40,1.2,0.5222857142857142,0.7894285714285715,1.3117142857142858,105.16374456813821,4.808769847100358e-06,0.6615997104596452
7.0,28.571428571428573,40,1.3,0.5222857142857142,0.7894285714285715,1.3117142857142858,107.49465184921638,4.642700442450698e-06,0.6615997104596452
7.0,28.571428571428573,40,1.4,0.5222857142857142,0.7894285714285715,1.3117142857142858,109.68224258275194,4.4969484102249086e-06,0.6615997104596452
7.0,28.571428571428573,40,1.5,0.5222857142857142,0.7894285714285715,1.3117142857142858,111.74486049387446,4.367664078602078e-06,0.6615997104596452
7.0,31.42857142857143,20,1.1,0.496,0.7944285714285715,1.2904285714285715,102.66664677456191,3.7291033917152597e-06,0.6243481388239525
7.0,31.42857142857143,20,1.2,0.496,0.7944285714285715,1.2904285714285715,105.16374456813821,3.6197618415205085e-06,0.6243481388239525
7.0,31.42857142857143,20,1.3,0.496,0.7944285714285715,1.2904285714285715,107.49465184921638,3.523329327602863e-06,0.6243481388239525
7.0,31.42857142857143,20,1.4,0.496,0.7944285714285715,1.2904285714285715,109.68224258275194,3.4373858635871624e-06,0.6243481388239525
